"time_ago","total_area_rainforest","total_area_other"
540,63339471210485.7,1164273860480914
520,45421764964219.5,984269323151679
500,80084244318575.4,1045150515818336
480,102112569241188,1008961296009543
460,96481651603521.6,1043709175369252
440,95342108482399.3,1112497286266452
420,173269705506414,941514978996059
400,100963950349480,1012730512215869
380,116597717842527,952797719180415
360,82977852125830.8,1116113034280850
340,134200041830986,1312817786554175
320,142009902170707,1476217504999656
300,89837011117671.6,1323237823966800
280,81352764767321.9,1477359276275795
260,117082126307181,1625548561019901
240,247205071544600,2240162249535822
220,203280425877717,2013214336332920
200,136928615881497,2261319980446695
180,138919608723055,2161299576875998
160,167291328804487,1833255661888658
140,159656511364006,2054839762640292
120,178235909016490,1764655416262339
100,148978671705790,1700046985112687
80,121970331891762,1411268703043960
60,209574895231122,1845582654437860
40,183230120485910,2047425869917089
20,136548428834798,1940600790837712
0,192937636586817,1820850573637806
